"product_id","product_name","text","category","source","created_at","review_id","rating","firmware_version","component_focus"
"FP1001","Personal Care","theek thaak hai","Personal Care","csv","2026-03-01 02:00:00","R-FP1001-000","2","v3.8","software"
"FP1001","Personal Care","The speed of this Personal Care is poor. fast performance is noted.","Personal Care","csv","2026-03-02 03:48:00","R-FP1001-002","4","v1.0","speed"
"FP1001","Personal Care","The software of this Personal Care is poor. app performance is noted.","Personal Care","csv","2026-03-02 16:00:00","R-FP1001-005","4","v1.2","software"
"FP1001","Personal Care","The battery of this Personal Care is excellent. charging performance is noted.","Personal Care","csv","2026-03-03 17:12:00","R-FP1001-008","3","v3.3","battery"
"FP1001","Personal Care","theek thaak hai","Personal Care","csv","2026-03-03 15:00:00","R-FP1001-010","2","v3.5","camera"
"FP1001","Personal Care","The speed of this Personal Care is poor. slow performance is noted.","Personal Care","csv","2026-03-04 01:12:00","R-FP1001-013","4","v3.6","speed"
"FP1001","Personal Care","The speed of this Personal Care is poor. fast performance is noted.","Personal Care","csv","2026-03-04 19:24:00","R-FP1001-016","2","v1.3","speed"
"FP1001","Personal Care","The delivery of this Personal Care is decent. courier performance is noted.","Personal Care","csv","2026-03-05 07:12:00","R-FP1001-018","2","v1.8","delivery"
"FP1001","Personal Care","The speed of this Personal Care is poor. fast performance is noted.","Personal Care","csv","2026-03-06 05:24:00","R-FP1001-021","2","v3.8","speed"
"FP1001","Personal Care","expensive is okay 😡","Personal Care","csv","2026-03-07 03:36:00","R-FP1001-024","5","v2.5","price"
"FP1001","Personal Care","The display of this Personal Care is decent. colors performance is noted.","Personal Care","csv","2026-03-07 04:24:00","R-FP1001-026","1","v2.8","display"
"FP1001","Personal Care","The packaging of this Personal Care is excellent. shipping performance is noted.","Personal Care","csv","2026-03-08 08:36:00","R-FP1001-029","1","v1.4","packaging"
"FP1001","Personal Care","The packaging of this Personal Care is poor. packed performance is noted.","Personal Care","csv","2026-03-08 14:48:00","R-FP1001-032","1","v2.3","packaging"
"FP1001","Personal Care","The price of this Personal Care is excellent. worth performance is noted.","Personal Care","csv","2026-03-09 07:36:00","R-FP1001-034","4","v3.4","price"
"FP1001","Personal Care","The software of this Personal Care is poor. bugs performance is noted.","Personal Care","csv","2026-03-10 05:48:00","R-FP1001-037","5","v3.6","software"
"FP1001","Personal Care","theek thaak hai","Personal Care","csv","2026-03-10 01:00:00","R-FP1001-040","5","v1.3","camera"
"FP1001","Personal Care","The support of this Personal Care is decent. customer service performance is noted.","Personal Care","csv","2026-03-10 21:48:00","R-FP1001-042","4","v1.4","support"
"FP1001","Personal Care","what a great camera... not","Personal Care","csv","2026-03-11 05:00:00","R-FP1001-045","5","v3.2","camera"
"FP1001","Personal Care","courier is great 🔥","Personal Care","csv","2026-03-12 10:12:00","R-FP1001-048","4","v1.0","delivery"
"FP1001","Personal Care","The software of this Personal Care is decent. update performance is noted.","Personal Care","csv","2026-03-13 02:00:00","R-FP1001-050","3","v3.4","display"
"FP1001","Personal Care","The display of this Personal Care is excellent. screen performance is noted.","Personal Care","csv","2026-03-13 16:12:00","R-FP1001-053","1","v3.2","display"
"FP1001","Personal Care","The delivery of this Personal Care is decent. courier performance is noted.","Personal Care","csv","2026-03-14 13:24:00","R-FP1001-056","4","v2.0","delivery"
"FP1001","Personal Care","The battery of this Personal Care is decent. charging performance is noted.","Personal Care","csv","2026-03-14 20:12:00","R-FP1001-058","3","v2.1","battery"
"FP1001","Personal Care","The packaging of this Personal Care is poor. shipping performance is noted.","Personal Care","csv","2026-03-15 10:24:00","R-FP1001-061","3","v1.1","packaging"
"FP1001","Personal Care","The price of this Personal Care is decent. worth performance is noted.","Personal Care","csv","2026-03-16 02:36:00","R-FP1001-064","2","v2.0","price"
