product_id,product_name,category,review_id,date,source,rating,text,firmware_version,component_focus,is_sarcastic
P1001,Personal Care,Personal Care,R10000,2026-03-03,amazon,1,Decent for the price.,v3.3,UI,0
P1001,Personal Care,Personal Care,R10001,2026-01-01,flipkart,4,Duplicate review text for testing.,v3.0,UI,0
P1001,Personal Care,Personal Care,R10002,2026-01-25,amazon,4,"Average quality, nothing special.",v2.3,Power,0
P1001,Personal Care,Personal Care,R10003,2026-03-05,amazon,1,Great product!!! 😂🔥💯,v1.5,Power,0
P1001,Personal Care,Personal Care,R10004,2026-03-30,amazon,1,"Quality thodi weak hai, better ho sakti thi.",v4.4,Packaging,0
P1001,Personal Care,Personal Care,R10005,2026-02-10,direct,5,"Amazing product, works like a charm!",v4.1,General,0
P1001,Personal Care,Personal Care,R10006,2026-02-28,flipkart,3,Terrible experience.,v1.4,General,0
P1001,Personal Care,Personal Care,R10007,2026-04-06,amazon,3,Avoid this product.,v2.3,Packaging,0
P1001,Personal Care,Personal Care,R10008,2026-02-14,amazon,1,"Amazing product, works like a charm!",v3.3,General,0
P1001,Personal Care,Personal Care,R10009,2026-02-23,amazon,3,Terrible experience.,v5.5,Power,0
P1001,Personal Care,Personal Care,R10010,2026-03-05,flipkart,4,Doesn't work as advertised.,v2.6,Packaging,0
P1001,Personal Care,Personal Care,R10011,2026-02-05,direct,5,"Average quality, nothing special.",v1.2,UI,0
P1001,Personal Care,Personal Care,R10012,2026-04-05,direct,3,Waste of money.,v5.5,Power,0
P1001,Personal Care,Personal Care,R10013,2026-03-21,flipkart,4,"Amazing product, works like a charm!",v3.9,General,0
P1001,Personal Care,Personal Care,R10014,2026-01-22,direct,1,Very good quality.,v5.4,UI,0
P1001,Personal Care,Personal Care,R10015,2026-02-09,direct,5,Best purchase this year!,v3.7,Packaging,0
P1001,Personal Care,Personal Care,R10016,2026-01-10,flipkart,5,Doesn't work as advertised.,v1.4,General,0
P1001,Personal Care,Personal Care,R10017,2026-02-12,amazon,1,"Amazing product, works like a charm!",v4.5,Packaging,0
P1001,Personal Care,Personal Care,R10018,2026-01-03,direct,2,"Quality thodi weak hai, better ho sakti thi.",v1.9,Packaging,0
P1001,Personal Care,Personal Care,R10019,2026-04-05,direct,5,Decent for the price.,v3.2,General,0
P1001,Personal Care,Personal Care,R10020,2026-01-23,direct,4,Decent for the price.,v1.3,General,0
P1001,Personal Care,Personal Care,R10021,2026-02-04,flipkart,5,"Quality thodi weak hai, better ho sakti thi.",v4.5,General,0
P1001,Personal Care,Personal Care,R10022,2026-02-27,amazon,2,"Amazing product, works like a charm!",v2.5,UI,0
P1001,Personal Care,Personal Care,R10023,2026-03-05,amazon,4,"Not bad, not great.",v5.3,UI,0
P1001,Personal Care,Personal Care,R10024,2026-01-25,direct,5,"Quality thodi weak hai, better ho sakti thi.",v4.4,UI,0
P1001,Personal Care,Personal Care,R10025,2026-02-14,flipkart,5,Best purchase this year!,v1.2,General,0
P1001,Personal Care,Personal Care,R10026,2026-02-02,amazon,1,Best purchase this year!,v2.4,General,0
